LINE_OF_BUSINESS,DELIVERY_UNIT,PRACTICE_UNIT,month
Manufacturing,Enterprise IT Transformation,Application Development,2024-04-01 00:00:00
Manufacturing,Enterprise IT Transformation,Application Development,2024-05-01 00:00:00
Manufacturing,Enterprise IT Transformation,Application Development,2024-06-01 00:00:00
Manufacturing,Enterprise IT Transformation,Application Development,2024-07-01 00:00:00
Manufacturing,Enterprise IT Transformation,Application Development,2024-08-01 00:00:00
Manufacturing,Enterprise IT Transformation,Application Development,2024-09-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2022-10-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2022-11-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2022-12-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2023-01-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2023-02-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2023-03-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2023-04-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2023-05-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2023-06-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2023-07-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2023-08-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2023-09-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2023-10-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2023-11-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2023-12-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2024-01-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2024-02-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2024-03-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2024-04-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2024-05-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2024-06-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2024-07-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2024-08-01 00:00:00
Energy,Cloud and Infrastructure Services,Infrastructure Services,2024-09-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2022-10-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2022-11-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2022-12-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2023-01-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2023-02-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2023-03-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2023-04-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2023-05-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2023-06-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2023-07-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2023-08-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2023-09-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2023-10-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2023-11-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2023-12-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2024-01-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2024-02-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2024-03-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2024-04-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2024-05-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2024-06-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2024-07-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2024-08-01 00:00:00
Manufacturing,Enterprise IT Transformation,IT Infrastructure,2024-09-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2022-10-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2022-11-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2022-12-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2023-01-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2023-02-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2023-03-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2023-04-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2023-05-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2023-06-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2023-07-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2023-08-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2023-09-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2023-10-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2023-11-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2023-12-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2024-01-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2024-02-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2024-03-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2024-04-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2024-05-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2024-06-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2024-07-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2024-08-01 00:00:00
Retail and Consumer Goods,Consulting,Technology Consulting,2024-09-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2022-10-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2022-11-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2022-12-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2023-01-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2023-02-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2023-03-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2023-04-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2023-05-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2023-06-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2023-07-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2023-08-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2023-09-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2023-10-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2023-11-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2023-12-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2024-01-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2024-02-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2024-03-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2024-04-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2024-05-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2024-06-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2024-07-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2024-08-01 00:00:00
Manufacturing,Digital and Analytics,Data Analytics,2024-09-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2022-10-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2022-11-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2022-12-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2023-01-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2023-02-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2023-03-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2023-04-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2023-05-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2023-06-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2023-07-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2023-08-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2023-09-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2023-10-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2023-11-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2023-12-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2024-01-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2024-02-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2024-03-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2024-04-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2024-05-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2024-06-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2024-07-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2024-08-01 00:00:00
Insurance,Digital and Analytics,Artificial Intelligence,2024-09-01 00:00:00
Insurance,Consulting,Technology Consulting,2022-10-01 00:00:00
Insurance,Consulting,Technology Consulting,2022-11-01 00:00:00
Insurance,Consulting,Technology Consulting,2022-12-01 00:00:00
Insurance,Consulting,Technology Consulting,2023-01-01 00:00:00
Insurance,Consulting,Technology Consulting,2023-02-01 00:00:00
Insurance,Consulting,Technology Consulting,2023-03-01 00:00:00
Insurance,Consulting,Technology Consulting,2023-04-01 00:00:00
Insurance,Consulting,Technology Consulting,2023-05-01 00:00:00
Insurance,Consulting,Technology Consulting,2023-06-01 00:00:00
Insurance,Consulting,Technology Consulting,2023-07-01 00:00:00
Insurance,Consulting,Technology Consulting,2023-08-01 00:00:00
Insurance,Consulting,Technology Consulting,2023-09-01 00:00:00
Insurance,Consulting,Technology Consulting,2023-10-01 00:00:00
Insurance,Consulting,Technology Consulting,2023-11-01 00:00:00
Insurance,Consulting,Technology Consulting,2023-12-01 00:00:00
Insurance,Consulting,Technology Consulting,2024-01-01 00:00:00
Insurance,Consulting,Technology Consulting,2024-02-01 00:00:00
Insurance,Consulting,Technology Consulting,2024-03-01 00:00:00
Insurance,Consulting,Technology Consulting,2024-04-01 00:00:00
Insurance,Consulting,Technology Consulting,2024-05-01 00:00:00
Insurance,Consulting,Technology Consulting,2024-06-01 00:00:00
Insurance,Consulting,Technology Consulting,2024-07-01 00:00:00
Insurance,Consulting,Technology Consulting,2024-08-01 00:00:00
Insurance,Consulting,Technology Consulting,2024-09-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2022-10-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2022-11-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2022-12-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2023-01-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2023-02-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2023-03-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2023-04-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2023-05-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2023-06-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2023-07-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2023-08-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2023-09-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2023-10-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2023-11-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2023-12-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2024-01-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2024-02-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2024-03-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2024-04-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2024-05-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2024-06-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2024-07-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2024-08-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,Enterprise Integration,2024-09-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2022-10-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2022-11-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2022-12-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2023-01-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2023-02-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2023-03-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2023-04-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2023-05-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2023-06-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2023-07-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2023-08-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2023-09-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2023-10-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2023-11-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2023-12-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2024-01-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2024-02-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2024-03-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2024-04-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2024-05-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2024-06-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2024-07-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2024-08-01 00:00:00
Banking and Financial Services,Cybersecurity,Security Solutions,2024-09-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2022-10-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2022-11-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2022-12-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2023-01-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2023-02-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2023-03-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2023-04-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2023-05-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2023-06-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2023-07-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2023-08-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2023-09-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2023-10-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2023-11-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2023-12-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2024-01-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2024-02-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2024-03-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2024-04-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2024-05-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2024-06-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2024-07-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2024-08-01 00:00:00
Banking and Financial Services,Enterprise Application Services,Enterprise Integration,2024-09-01 00:00:00
Energy,Consulting,Strategic Consulting,2022-10-01 00:00:00
Energy,Consulting,Strategic Consulting,2022-11-01 00:00:00
Energy,Consulting,Strategic Consulting,2022-12-01 00:00:00
Energy,Consulting,Strategic Consulting,2023-01-01 00:00:00
Energy,Consulting,Strategic Consulting,2023-02-01 00:00:00
Energy,Consulting,Strategic Consulting,2023-03-01 00:00:00
Energy,Consulting,Strategic Consulting,2023-04-01 00:00:00
Energy,Consulting,Strategic Consulting,2023-05-01 00:00:00
Energy,Consulting,Strategic Consulting,2023-06-01 00:00:00
Energy,Consulting,Strategic Consulting,2023-07-01 00:00:00
Energy,Consulting,Strategic Consulting,2023-08-01 00:00:00
Energy,Consulting,Strategic Consulting,2023-09-01 00:00:00
Energy,Consulting,Strategic Consulting,2023-10-01 00:00:00
Energy,Consulting,Strategic Consulting,2023-11-01 00:00:00
Energy,Consulting,Strategic Consulting,2023-12-01 00:00:00
Energy,Consulting,Strategic Consulting,2024-01-01 00:00:00
Energy,Consulting,Strategic Consulting,2024-02-01 00:00:00
Energy,Consulting,Strategic Consulting,2024-03-01 00:00:00
Energy,Consulting,Strategic Consulting,2024-04-01 00:00:00
Energy,Consulting,Strategic Consulting,2024-05-01 00:00:00
Energy,Consulting,Strategic Consulting,2024-06-01 00:00:00
Energy,Consulting,Strategic Consulting,2024-07-01 00:00:00
Energy,Consulting,Strategic Consulting,2024-08-01 00:00:00
Energy,Consulting,Strategic Consulting,2024-09-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2022-10-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2022-11-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2022-12-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2023-01-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2023-02-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2023-03-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2023-04-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2023-05-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2023-06-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2023-07-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2023-08-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2023-09-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2023-10-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2023-11-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2023-12-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2024-01-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2024-02-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2024-03-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2024-04-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2024-05-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2024-06-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2024-07-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2024-08-01 00:00:00
Insurance,Assurance Services,Quality Assurance,2024-09-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2022-10-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2022-11-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2022-12-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2023-01-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2023-02-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2023-03-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2023-04-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2023-05-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2023-06-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2023-07-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2023-08-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2023-09-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2023-10-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2023-11-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2023-12-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2024-01-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2024-02-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2024-03-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2024-04-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2024-05-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2024-06-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2024-07-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2024-08-01 00:00:00
Media and Entertainment,Consulting,Strategic Consulting,2024-09-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2022-10-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2022-11-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2022-12-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2023-01-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2023-02-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2023-03-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2023-04-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2023-05-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2023-06-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2023-07-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2023-08-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2023-09-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2023-10-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2023-11-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2023-12-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2024-01-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2024-02-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2024-03-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2024-04-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2024-05-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2024-06-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2024-07-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2024-08-01 00:00:00
Retail and Consumer Goods,Enterprise Application Services,CRM Solutions,2024-09-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2022-10-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2022-11-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2022-12-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2023-01-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2023-02-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2023-03-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2023-04-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2023-05-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2023-06-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2023-07-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2023-08-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2023-09-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2023-10-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2023-11-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2023-12-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2024-01-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2024-02-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2024-03-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2024-04-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2024-05-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2024-06-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2024-07-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2024-08-01 00:00:00
Travel Transportation and Hospitality (TTH),Enterprise Application Services,CRM Solutions,2024-09-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Data Analytics,2022-10-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Data Analytics,2022-11-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Data Analytics,2022-12-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Data Analytics,2023-01-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Data Analytics,2023-02-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Data Analytics,2023-03-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Data Analytics,2023-04-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Data Analytics,2023-05-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Data Analytics,2023-06-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Data Analytics,2023-07-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Data Analytics,2023-08-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Data Analytics,2023-09-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Data Analytics,2023-10-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Data Analytics,2023-11-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Data Analytics,2023-12-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Data Analytics,2024-01-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Data Analytics,2024-02-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Data Analytics,2024-03-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Data Analytics,2024-04-01 00:00:00
